"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2022","250052","Steinmetz Academic Center HS -CPS","Submitted Data","3030 N Mobile Ave","60634","3.5","false","BELMONT CRAGIN","K-12 School","398,320","1934","3",,"78","6,655,013.6","18,493,979.8","0","0",,"63.1","95.5","65.1","97.6","1,858.9","4.7","41.93563171171","-87.78355193935","(41.93563171170667, -87.78355193935316)","2022-250052"
"2022","251379","IBEW Local 134 Union Hall (expected 2016)","Submitted Data","2722 S King Dr","60616","0.0","false","DOUGLAS",,"130,000",,,,,,,,,,,,,,,,"41.84379445076","-87.61776767805","(41.84379445076125, -87.61776767805219)","2022-251379"
"2022","175727","130 S Jefferson St","Submitted Data","130 S Jefferson St","60661","2.0","false","NEAR WEST SIDE","Office","78,790.7","1893","1",,,"3,161,373.1","3,460,446","0","0",,"84","158.5","85.3","156.3","600.2","7.6","41.87962086397","-87.64273493564","(41.879620863966615, -87.64273493564174)","2022-175727"
"2022","104250",,"Submitted Data","544  W MELROSE ST","60657","2.0","false","LAKE VIEW","Multifamily Housing","54,089","1967","1",,"43","968,135.1","3,629,269.5","0","0",,"90.9","128.9","94.4","130.4","320.3","6.3","41.94125819643","-87.6436988479","(41.94125819643195, -87.64369884789778)","2022-104250"
"2022","144572",,"Submitted Data","5301 5331 S KIMBARK AVE","60615","1.5","false","HYDE PARK","Multifamily Housing","59,904","1960","1",,"39","109,892.5","6,399,882","0","0",,"108.7","117.3","117.7","126.8","354.4","5.9","41.79940180871","-87.59487727869","(41.79940180871292, -87.59487727868954)","2022-144572"
"2022","101940","Mallers Building LLC","Submitted Data","5 S Wabash Ave","60603",,"true","LOOP","Enclosed Mall","314,262","1912","1",,,"12,947,935","12,839,730.1","0","0",,"82.1","158.3","80.9","155.1","2,387.4","7.6","41.88192156256","-87.62606305985","(41.88192156256051, -87.62606305984501)","2022-101940"
"2022","172613",,"Submitted Data","2720 2730 N Greenview Ave","60614","4.0","false","LINCOLN PARK","Multifamily Housing","64,000","1986","1",,"100","605,719.2","1,115,773.8","0","0",,"31.9","53.1","31.2","51.3","139","2.6","41.93133368277","-87.66609193616","(41.93133368277255, -87.66609193616192)","2022-172613"
"2022","159276","Foxboro Properties, LLC","Submitted Data","6201 S Emerald Dr","60621","2.0","false","ENGLEWOOD","Other - Public Services","80,000","1985","1",,,"3,952,965.6","1,553,849.9","0","0",,"68.8","158.7","68.5","156.4","603.2","7.5","41.78166673591","-87.64473024375","(41.781666735908715, -87.64473024375266)","2022-159276"
"2022","159999","Lake Terrace Condominiums","Submitted Data","7337 S SOUTH SHORE DR","60649","3.0","false","SOUTH SHORE","Multifamily Housing","308,690","1958","1",,"47","6,002,221.8","24,721,062.4","0","0",,"112.5","156.6","117.7","161.1","2,103.6","7.7","41.76323502387","-87.55961668246","(41.76323502386814, -87.55961668246357)","2022-159999"
"2022","256808",,"Not Submitted","205 S PEORIA ST","60607","0.0","false","Near West Side",,"50,000",,,,,,,,,,,,,,,,"41.87899810482","-87.6494662212","(41.87899810481644, -87.64946622120027)","2022-256808"
